 	분류	타입1	타입2	타입3	위력	명중	대상	우선도	접촉 여부	효과	태그1	태그2	태그3	태그4	공격자 능력치	방어자 능력치	타입 순서
손가락포	특수	격투			40	100	단일	＋3	×	「필드에 나온 후 최초」가 아니면 실패한다．「10할：풀죽음」		최초			특공	특방	7
손바닥치기	물리	격투			15	100	단일	±0	○	2～5회 「연속」 기술．		연속			공격	방어	7
스카이어퍼	물리	격투			85	90	단일	±0	○	「펀치」 기술．「하늘 위」 상태인 상대에게도 명중한다．	펀치				공격	방어	7
스타어설트	물리	격투			150	100	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			공격	방어	7
승리의춤	변화	격투			－	－	자신	±0	×	「춤」 기술．「공격/방어/속도＋1」	춤				－	－	7
신비의칼	특수	격투			85	100	단일	±0	×	「칼/검」 기술．상대의 「방어」 능력치로 대미지를 계산한다．	칼/검	변칙계산			특공	방어	7
신의주먹	물리	격투			100	100	단일	±0	○	「소지품 파괴」 기술．		파괴			공격	방어	7
안다리걸기	물리	격투			120	100	단일	±0	○	자신과 상대의 「방어」 능력치를 반전해 대미지를 계산한다．		변칙계산			방어	방어	7
암해머	물리	격투			100	90	단일	±0	○	「펀치」 기술．명중 후，자신의 「속도－1」	펀치				공격	방어	7
액셀브레이크	물리	격투			100	100	단일	±0	○	「효과가 굉장」할 때，기술의 위력을 강화（1.3배）한다．					공격	방어	7
엄청난힘	물리	격투			120	100	단일	±0	○	「힘」 기술．명중 후，자신의 「공격/방어－1」	힘				공격	방어	7
업어후리기	물리	격투			50	100	단일	±0	○	반드시 급소에 맞는다．		확정급소			공격	방어	7
워드럼	물리	격투			70	100	전체	±0	×	「소리」 기술．「4할：공격＋1」	소리				공격	방어	7
원숭이지혜	변화	격투			－	－	자신	±0	×	「특공＋3」「공격－2」					－	－	7
유린제패	물리	격투			120	100	단일	±0	○	준 대미지의 1/4만큼 반동 대미지를 받는다．		반동			공격	방어	7
인파이트	물리	격투			120	100	단일	±0	○	명중 후，자신의 「방어/특방－1」					공격	방어	7
잠깨움뺨치기	물리	격투			70	100	단일	±0	○	상대가 「잠듦」 상태일 때，위력이 강화（2배）된다．상대의 「잠듦」 상태를 치유한다．					공격	방어	7
점프킥	물리	격투			100	95	단일	±0	○	「킥」 기술．빗나가거나 무효화됐을 때，HP의 1/2만큼 반동 대미지를 받는다．	킥	반동			공격	방어	7
정권지르기	물리	격투			100	100	단일	±0	○	「펀치」 기술．상대의 〔방호 특성〕을 관통한다．	펀치	특성관통			공격	방어	7
지구던지기	물리	격투			－	100	단일	－3	○	상대에게 HP의 1/3만큼 고정 대미지를 준다．		고정피해			－	－	7
지옥의바퀴	물리	격투			80	80	단일	±0	○	준 대미지의 1/4만큼 반동 대미지를 받는다．		반동			공격	방어	7
진각	물리	격투			70	－	전체	±0	×	상대가 「땅속」 상태일 때，위력이 강화（2배）된다．		필중			공격	방어	7
진공파	특수	격투			40	100	단일	＋1	×	특수효과 없음．					특공	특방	7
차올리기	물리	격투			60	－	단일	±0	○	「킥」 기술．「10할：텔레키네시스」	킥	필중			공격	방어	7
천둥차기	물리	격투			90	100	단일	±0	○	「킥」 기술．「10할：방어－1」	킥				공격	방어	7
천심권	물리	격투			140	50	단일	±0	○	「10할：혼란」					공격	방어	7
카운터	물리	격투			－	100	단일	－5	○	상대로부터 받은 「물리」 대미지의 2배만큼 고정 대미지를 준다．		고정피해			－	－	7
코칭	변화	격투			－	－	아군	±0	×	「공격/방어＋1」				더블배틀	－	－	7
크로스촙	물리	격투			100	80	단일	±0	○	급소에 맞기 쉽다（C＋1）．					공격	방어	7
크로스카운터	물리	격투			80	100	단일	＋1	○	「펀치」 기술．상대가 공격기술을 내보내지 않으면 실패한다．	펀치				공격	방어	7
태권당수	물리	격투			50	100	단일	±0	○	급소에 맞기 쉽다（C＋1）．					공격	방어	7
트리플킥（1회）	물리	격투			10	90	단일	±0	○	「킥」 기술．3회 「연속」 기술．1번 명중할 때마다 위력이 강화（＋10，최대 30）된다．	킥	연속			공격	방어	7
트리플킥（2회）	물리	격투			20	90	단일	±0	○	「킥」 기술．3회 「연속」 기술．1번 명중할 때마다 위력이 강화（＋10，최대 30）된다．	킥	연속			공격	방어	7
트리플킥（3회）	물리	격투			30	90	단일	±0	○	「킥」 기술．3회 「연속」 기술．1번 명중할 때마다 위력이 강화（＋10，최대 30）된다．	킥	연속			공격	방어	7
파동권	물리	격투			100	－	단일	±0	×	「파동」 기술．	파동				공격	방어	7
파동탄	특수	격투			80	－	단일	±0	×	「탄/볼」 기술．「파동」 기술．	탄/볼 파동	필중			특공	특방	7
파동포	특수	격투			150	90	단일	±0	×	「파동」 기술．명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．	파동	행동불능			특공	특방	7
파동폭풍	특수	격투			130	90	단일	±0	×	「바람」 기술．「파동」 기술．명중 후，자신의 「특공－2」	바람 파동				특공	특방	7
파이트액셀	물리	격투			80	100	단일	±0	×	「3할：마비」					공격	방어	7
판별	변화	격투			－	－	자신	＋4	×	「방어」 기술．연속해서 내보내면 실패하기 쉽다．	방어				－	－	7
패스트가드	변화	격투			－	－	자진	＋3	×	「방어」 기술．자진을 「패스트가드」 상태로 한다．	방어			더블배틀	－	－	7
패왕권	물리	격투			100	100	단일	±0	×	「소지품 파괴」 기술．		파괴			공격	방어	7
패왕의춤	변화	격투			－	－	자신	±0	×	「공격/방어/속도＋1」					－	－	7
폭발펀치	물리	격투			100	50	단일	±0	○	「펀치」 기술．「10할：혼란」	펀치				공격	방어	7
플라잉프레스	물리	격투	비행		100	95	단일	±0	○	「격투」「비행」 타입 중 유리한 타입 상성으로 대미지를 계산한다．상대가 「작아지기」 상태일 때，위력이 강화（2배）되고 「필중」 효과가 부여된다．		복합타입			공격	방어	7
필살배트	물리	격투			100	100	단일	±0	○	상대가 내보내는 공격과 우선도가 같을 때，위력을 강화（1.5배）한다．					공격	방어	7
한팔업어치기	물리	격투			80	－	단일	－7	○	「강제교대」 기술．「2할：마비」		필중	강제교대	전용기술	공격	방어	7
힘겨루기	물리	격투			120	100	단일	±0	○	자신과 상대의 「공격」 능력치로 대미지를 계산한다．		변칙계산			공격	공격	7
힘껏부딪히기	물리	격투			120	90	단일	±0	○	「3할：풀죽음」					공격	방어	7
힘껏펀치	물리	격투			150	100	단일	－3	○	「펀치」 기술．기술을 내보내기 전에 상대의 공격을 받으면 실패한다．	펀치				공격	방어	7
녹기	변화	독			－	－	자신	±0	×	「방어＋2」					－	－	8
늪에담그기	특수	독			100	100	단일	－3	×	기술을 내보내기 전에 「접촉」 기술을 받으면 상대를 「독」 상태로 한다．					특공	특방	8
더스트슈트	물리	독			120	80	단일	±0	×	「3할：독」					공격	방어	8
독가스	변화	독			－	90	전체	±0	×	상대를 「독」 상태로 한다．					－	－	8
독꼬리	물리	독			90	90	단일	±0	○	「꼬리」 기술．「2할：독」	꼬리				공격	방어	8
독사의엄니	물리	독			50	100	단일	±0	○	「물기/엄니」 기술．반드시 급소에 맞는다．	물기/엄니	확정급소			공격	방어	8
독실	변화	독			－	100	단일	±0	×	상대를 「독」 상태로 하고，상대의 「속도－1」					－	－	8
독압정	변화	독			－	－	적진	±0	×	「대지설치」 기술．적진에 「독압정」을 설치한다．	대지설치				－	－	8
독의칼	물리	독			100	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．「2할：독」	칼/검				공격	방어	8
독전파	변화	독			－	70	단일	±0	×	상대를 「독」「혼란」 상태로 한다．					－	－	8
독찌르기	물리	독			80	100	단일	±0	○	「3할：독」					공격	방어	8
독침	물리	독			20	100	단일	±0	×	「10할：독」					공격	방어	8
독침천발	물리	독			60	100	단일	±0	○	상대가 「독/맹독」 상태일 때，위력이 강화（2배）된다．「5할：독」					공격	방어	8
똬리틀기	변화	독			－	－	자신	±0	×	「공격/방어/명중＋1」					－	－	8
맹독	변화	독			－	90	단일	±0	×	상대를 「맹독」 상태로 한다．「독」 타입이 내보내면 「필중」 효과가 부여된다．					－	－	8
맹독엄니	물리	독			50	100	단일	±0	○	「물기/엄니」 기술．「5할：맹독」	물기/엄니				공격	방어	8
베놈쇼크	특수	독			65	100	단일	±0	×	상대가 「독」 상태일 때，위력이 강화（2배）된다．					특공	특방	8
베놈스톰	특수	독			100	75	단일	±0	×	명중 후，상대를 「조이기」 상태로 한다．		조이기			특공	특방	8
베놈크로이츠	특수	독			130	100	단일	±0	×	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					특공	특방	8
베놈트랩	변화	독			－	100	단일	±0	×	「독」 상태인 상대의 「공격/특공/속도－1」상대가 「독」 상태가 아니면 실패한다．					－	－	8
병독침범	특수	독			100	100	전체	±0	×	타입 상성에 의해 무효화되지 않는다．「10할：맹독」		상성변경			특공	특방	8
부식가스	변화	독			－	－	전체	±0	×	「소지품 파괴」 기술．					－	－	8
셸암즈	특수	독			90	100	단일	±0	×	「물리」「특수」 중 더 많은 대미지를 줄 수 있는 쪽으로 기술의 분류가 변경된다．「1할：독」		변칙계산			공격	방어	8
수질오염	특수	독			100	100	전체	±0	×	상대가 「물」 타입일 때，「효과가 굉장」해진다．「3할：독」		상성변경			특공	특방	8
스모그	특수	독			30	70	단일	±0	×	「4할：독」					특공	특방	8
애시드봄	특수	독			40	100	단일	±0	×	「탄/볼」 기술．「10할：특방－2」	탄/볼				특공	특방	8
액막이	변화	독			－	－	단일	－3	×	상대를 「독」 상태로 해，「강제교대」			강제교대		－	－	8
오물공격	특수	독			65	100	단일	±0	×	「3할：독」					특공	특방	8
오물웨이브	특수	독			95	100	전체	±0	×	「1할：독」					특공	특방	8
오물폭탄	특수	독			90	100	단일	±0	×	「탄/볼」 기술．「3할：독」	탄/볼				특공	특방	8
용해액	특수	독			40	100	전체	±0	×	「1할：특방－1」					특공	특방	8
위액	변화	독			－	100	단일	±0	×	상대의 〔특성〕을 〔없음〕으로 변경한다．		특성변경			－	－	8
정화	변화	독			－	－	단일	±0	×	상대의 「상태이상」을 치유한다．치유하면，자신의 HP를 1/2만큼 회복한다．		회복			－	－	8
조여짜기	물리	독			150	－	단일	±0	○	상대가 「조이기」 상태가 아니면 실패한다．명중 후，상대의 「조이기」 상태를 해제한다．		필중			공격	방어	8
크로스포이즌	물리	독			70	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．「1할：독」					공격	방어	8
클리어스모그	특수	독			50	－	단일	±0	×	명중 후，상대의 「능력변화」를 「초기화」한다．		초기화 필중			특공	특방	8
킬러스핀	물리	독			30	100	전체	±0	○	자진（자신）의 「설치물」「조이기」 상태를 해제한다．「10할：독」		해제			공격	방어	8
토치카	변화	독			－	－	자신	＋4	×	「방어」 기술．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，상대를 「독」 상태로 한다．	방어				－	－	8
트림	특수	독			120	90	단일	±0	×	「나무열매」를 먹은 후가 아니면 실패한다．					특공	특방	8
페이탈클로	물리	독			80	100	단일	±0	○	급소에 맞기 쉽다（C＋1）．「5할：독/마비/졸음」					공격	방어	8
포이즌액셀	물리	독			80	100	단일	±0	×	「3할：독」					공격	방어	8
포이즌테일	물리	독			50	100	단일	±0	○	「꼬리」 기술．급소에 맞기 쉽다（C＋1）．「1할：독」	꼬리				공격	방어	8
허둥지둥	물리	독			15	100	단일	＋1	×	2～5회 「연속」 기술．		연속			공격	방어	8
10만마력	물리	땅			95	95	단일	±0	○	특수효과 없음．					공격	방어	9
구멍파기	물리	땅			80	100	단일	±0	○	「모으기」 기술．1T째에 「땅속」으로 모습을 감추고，2T째에 공격한다．	모으기				공격	방어	9
그라운드캐논	특수	땅			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	9
그라운드포스	물리	땅			90	100	전체	±0	×	특수효과 없음．					공격	방어	9
나라부수기	물리	땅			120	100	단일	±0	○	「땅속」에 있는 상대에게도 명중한다．급소에 맞기 쉽다（C＋1）．					공격	방어	9
나선반전	물리	땅			200	100	단일	±0	×	「떨어뜨리기」 기술．상대의 「능력변화：＋」를 반전해서 대미지를 계산한다．	드릴/나선	떨어뜨리기			공격	방어	9
나선의파동	특수	땅			100	－	단일	±0	×	「파동」 기술．상대의 「방어」 기술을 관통한다．명중 후，자신의 「방어－1」	드릴/나선 파동	방어관통 필중			특공	특방	9
단애의칼	물리	땅			120	85	전체	±0	×	「칼/검」 기술．	칼/검				공격	방어	9
대지의도끼	물리	땅			150	80	단일	±0	○	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			공격	방어	9
대지의칼	물리	땅			100	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	9
대지의힘	특수	땅			90	100	단일	±0	×	「힘」 기술．「1할：특방－1」	힘				특공	특방	9
대지진	물리	땅			110	95	전체	±0	×	상대의 〔방호 특성〕을 관통한다．		특성관통			공격	방어	9
돌찌르기	물리	땅			80	100	단일	±0	○	「3할：마비」					공격	방어	9
뒷발차기	물리	땅			80	100	단일	－6	○	「강제교대」 기술．			강제교대		공격	방어	9
드릴다이브	물리	땅			120	100	단일	±0	○	「드릴」 기술．「모으기」 기술．상대의 「방어」 기술을 관통한다．1T째에 「땅속」으로 모습을 감추고，2T째에 공격한다．날씨가 「모래바람」일 때，모으기를 생략한다．	드릴/나선 모으기	방어관통			공격	방어	9
드릴라이너	물리	땅			80	95	단일	±0	○	「드릴」 기술．급소에 맞기 쉽다（C＋1）．	드릴/나선				공격	방어	9
드릴브레이크	물리	땅			150	90	단일	－3	○	「드릴」 기술．상대의 「방어」 기술을 관통한다．상대가 「방어」 기술을 내보내고 있지 않으면 실패한다．	드릴/나선	방어관통			공격	방어	9
들이받기	물리	땅			120	100	단일	±0	○	명중 후，자신의 「방어/특방－1」					공격	방어	9
땅가르기	물리	땅			－	30	단일	±0	×	「일격필살」 기술．	일격필살				－	－	9
땅고르기	물리	땅			60	100	전체	±0	×	「10할：속도－1」					공격	방어	9
매그니튜드	물리	땅			110	100	전체	±0	×	내보낼 때마다 위력이 랜덤하게 변화한다．	진도 8				공격	방어	9
머드샷	특수	땅			55	95	단일	±0	×	「10할：속도－1」					특공	특방	9
머드해머	물리	땅			150	80	단일	±0	×	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			공격	방어	9
모래모으기	변화	땅			－	－	자신	±0	×	HP를 1/2만큼 회복한다．		회복			－	－	9
모래뿌리기	변화	땅			－	100	단일	±0	×	「명중－1」					－	－	9
모래지옥	물리	땅			35	85	단일	±0	×	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			공격	방어	9
본러시	물리	땅			25	90	단일	±0	×	2～5회 「연속」 기술．		연속			공격	방어	9
분함의발구르기	물리	땅			75	100	단일	±0	○	직전에 내보낸 기술이 실패*하거나 빗나갔다면 위력이 강화（×2）된다．					공격	방어	9
뼈다귀부메랑	물리	땅			50	90	단일	±0	×	2회 「연속」 기술．		연속			공격	방어	9
뼈다귀치기	물리	땅			65	85	단일	±0	×	「1할：풀죽음」					공격	방어	9
뼈십자가	물리	땅			100	50	단일	±0	○	2회 「연속」 기술．		연속			공격	방어	9
사우전드애로	물리	땅			90	100	단일	±0	×	「화살」 기술．「떨어뜨리기」 기술．	화살	떨어뜨리기			공격	방어	9
사우전드웨이브	물리	땅			90	100	단일	±0	×	상대를 「검은눈빛」 상태로 한다．		검은눈빛			공격	방어	9
압정뿌리기	변화	땅			－	－	적진	±0	×	「대지설치」 기술．적진에 「압정」을 설치한다．	대지설치				－	－	9
열사의대지	특수	땅			70	100	단일	±0	×	서로의 「얼음」 상태를 치유한다．「3할：화상」		치유			특공	특방	9
열사의폭풍	특수	땅			95	80	전체	±0	×	「바람」 기술．「3할：화상」	바람				특공	특방	9
영거리포격	물리	땅			150	100	단일	－7	×	상대의 기술의 대미지를 행동 후로 미룬다．					공격	방어	9
오버로드	특수	땅			130	100	단일	±0	×	명중 후，자신의 「특공－2」					특공	특방	9
일구기	변화	땅			－	－	필드	±0	×	필드에 있는 모든 「풀」 타입 포켓몬의 「공격/특공＋1」					－	－	9
전력질주	물리	땅			165	90	단일	±0	○	자신과 상대의 「속도」 능력치로 대미지를 계산한다．명중 후，자신의 「속도－2」		변칙계산			속도	속도	9
전쟁의탑	물리	땅			180	70	전체	＋5	×	「떨어뜨리기」 기술．필드에 나온 후 2T째가 아니면 실패한다．		떨어뜨리기		전용기술	공격	방어	9
중력검	물리	땅			90	100	단일	±0	○	「떨어뜨리기」 기술．		떨어뜨리기			공격	방어	9
지뢰밭	변화	땅			－	－	적진	±0	×	「대지설치」 기술．적진에 「지뢰밭」을 설치한다．	대지설치				－	－	9
지모의만찬	특수	땅			80	100	전체	±0	×	준 대미지의 2/3만큼 HP를 회복한다．		드레인			특공	특방	9
지진	물리	땅			100	100	전체	±0	×	상대가 「땅속」 상태일 때，위력이 강화（2배）된다．					공격	방어	9
진흙범벅	변화	땅			－	－	단일	±0	×	상대의 타입을 「땅」으로 변경한다．		타입변경			－	－	9
진흙뿌리기	특수	땅			20	100	단일	±0	×	「10할：명중－1」					특공	특방	9
진흙폭탄	특수	땅			65	85	단일	±0	×	「탄/볼」 기술．「3할：명중－1」	탄/볼				특공	특방	9
황야의엄니	물리	땅	강철		200	100	전체	±0	○	「물기/엄니」 기술．「땅」「강철」 타입 중 유리한 타입 상성으로 대미지를 계산한다．	물기/엄니	복합타입		전용기술	공격	방어	9
흙놀이	변화	땅			－	－	필드	±0	×	5T 동안 전체 필드를 「흙놀이」 상태로 한다．	필드				－	－	9
공기포	특수	비행			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	10
공중날기	물리	비행			90	95	단일	±0	○	「모으기」 기술．1T째에 「하늘 위」로 모습을 감추고，2T째에 공격한다．	모으기				공격	방어	10
공중제비	물리	비행			70	100	단일	±0	○	「유턴」 기술．			유턴		공격	방어	10
급강하	특수	비행			50	100	단일	±0	×	반드시 급소에 맞는다．		확정급소			특공	특방	10
깃털댄스	변화	비행			－	100	단일	±0	×	「춤」 기술．「공격－2」	춤				－	－	10
날개로때리기	물리	비행			120	100	전체	±0	○	「펀치」 기술．명중 후，자신의 「방어/특방－1」	펀치				공격	방어	10
날개로방어	변화	비행			－	－	자신	＋3	×	「방어」 기술．상대의 「공격」 기술을 「방어」한다．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，자신의 「속도＋1」	방어				－	－	10
날개쉬기	변화	비행			－	－	자신	±0	×	HP를 1/2만큼 회복한다．T 종료 시까지，자신의 「비행」 타입이 소실된다．（「비행」 단일 타입일 경우 「노말」 타입이 된다．）		회복			－	－	10
날개치기	물리	비행			60	100	단일	±0	○	특수효과 없음．					공격	방어	10
더블윙	물리	비행			40	90	단일	±0	○	2회 「연속」 기술．		연속			공격	방어	10
데스윙	특수	비행			80	100	단일	±0	×	준 대미지의 3/4만큼 HP를 회복한다．		드레인			특공	특방	10
독수리쥐기	물리	비행			100	85	단일	±0	○	명중 후，상대를 「조이기」 상태로 한다．		조이기			공격	방어	10
돌풍	물리	비행			120	75	단일	±0	×	「2할：풀죽음」					공격	방어	10
따라하기	변화	비행			－	－	단일	±0	×	상대가 가장 마지막에 내보낸 기술을 내보낸다．					－	－	10
뛰어오르기	물리	비행			85	85	단일	±0	○	「모으기」 기술．1T째에 「하늘 위」로 모습을 감추고，2T째에 공격한다．「3할：마비」	모으기				공격	방어	10
마하비행	특수	비행			120	100	단일	±0	×	자신과 상대의 「속도」 능력치로 대미지를 계산한다．		변칙계산			속도	속도	10
바람구멍	물리	비행			100	85	단일	－3	○	상대의 「방어」 기술을 관통한다．		방어관통			공격	방어	10
바람의칼	물리	비행			100	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	10
바람일으키기	특수	비행			40	100	단일	±0	×	「바람」 기술．「하늘 위」 상태인 상대에게도 명중한다．	바람				특공	특방	10
버드보이스	특수	비행			70	90	단일	±0	×	「소리」 기술．「4할：특방－1」	소리				특공	특방	10
부리캐논	물리	비행			100	100	단일	－3	○	「탄/볼」 기술．기술을 내보내기 전에 「접촉」 기술 을 받으면 상대를 「화상」 상태로 한다．	탄/볼				공격	방어	10
불새	물리	비행			140	90	단일	±0	×	「모으기」 기술．급소에 맞기 쉽다（C＋1）．「3할：풀죽음」	모으기				공격	방어	10
브레이브버드	물리	비행			120	100	단일	±0	○	준 대미지의 1/3만큼 반동 대미지를 받는다．		반동			공격	방어	10
수다	특수	비행			65	100	단일	±0	×	「소리」 기술．「10할：혼란」	소리				특공	특방	10
순풍	변화	비행			－	－	자진	±0	×	「바람」 기술．4T 동안 자진을 「순풍」 상태로 한다．	바람				－	－	10
악마의날개	특수	비행			90	100	단일	±0	○	「4할：풀죽음」					특공	특방	10
안개제거	변화	비행			－	－	필드	±0	×	전체 필드의 특수한 상태를 해제한다．「10할：회피－1」		해제			－	－	10
애크러뱃	물리	비행			55	100	단일	±0	○	자신에게 「소지품」이 없을 때，위력이 강화（2배）된다．					공격	방어	10
에어로블라스트	특수	비행			100	95	단일	±0	×	급소에 맞기 쉽다（C＋1）．					특공	특방	10
에어슬래시	특수	비행			75	95	단일	±0	×	「칼/검」 기술．「3할：풀죽음」	칼/검				특공	특방	10
에어커터	특수	비행			60	95	전체	±0	×	「바람」 기술．「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	바람 칼/검				특공	특방	10
제비반환	물리	비행			60	－	단일	±0	○	「칼/검」 기술．		필중			공격	방어	10
질풍	물리	비행			40	100	단일	＋1	×	특수효과 없음．					공격	방어	10
질풍의칼	물리	비행			150	100	단일	－3	○	「칼/검」 기술．기술을 내보내기 전에 상대의 공격을 받으면 실패한다．	칼/검				공격	방어	10
질풍탄	특수	비행			80	－	단일	±0	×	특수효과 없음．		필중			특공	특방	10
쪼기	물리	비행			35	100	단일	±0	○	특수효과 없음．					공격	방어	10
쪼아대기	물리	비행			60	100	단일	±0	○	상대의 「나무열매」를 자신이 먹는다．					공격	방어	10
찬바람폭풍	특수	비행			100	80	전체	±0	×	「바람」 기술．「3할：동상」	바람				특공	특방	10
충격파	특수	비행			100	100	전체	±0	×	「소리」 기술．	소리				특공	특방	10
카미카제	물리	비행			150	90	단일	±0	○	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			공격	방어	10
클리어허밍	특수	비행			50	－	단일	±0	×	「소리」 기술．명중 후，상대의 「능력변화」를 「초기화」한다．	소리	초기화			특공	특방	10
폭풍	특수	비행			110	70	단일	±0	×	「바람」 기술．날씨가 「비（강한 비）」일 때，「필중」 효과가 부여된다．「3할：혼란」	바람				특공	특방	10
폭풍경보	특수	비행			100	100	단일	±0	×	「미래예지」 기술．「바람」 기술．상대를 「폭풍경보」 상태로 한다．	미래예지 바람	방어관통			특공	특방	10
풍마수리검	물리	비행			150	90	단일	＋2	○	「칼/검」 기술．「필드에 나온 후 최초」가 아니면 실패한다．	칼/검	최초			공격	방어	10
풍신권	물리	비행			50	85	단일	±0	×	3회 「연속」 기술．					공격	방어	10
프리폴	물리	비행			60	100	단일	±0	○	「모으기」 기술．1T째에 상대와 함께 「하늘 위」로 모습을 감추고，2T째에 공격한다．（상대는 「하늘 위」 상태일 때， 기술을 내보낼 수 없다．）	모으기				공격	방어	10
화룡점정	물리	비행			120	100	단일	±0	○	명중 후，자신의 「방어/특방－1」					공격	방어	10
화살로꿰뚫기	특수	비행			100	－	단일	－3	×	「화살」 기술．	화살	필중			특공	특방	10
황금의바람	특수	비행			100	100	전체	±0	×	「소지품 파괴」 기술．		파괴			특공	특방	10
회전부리	물리	비행			80	100	단일	±0	○	특수효과 없음．					공격	방어	10
가드셰어	변화	에스퍼			－	－	단일	±0	×	상대의 「방어」「특방」 종족치를 자신과 같은 랭크로 한다．					－	－	11
가드스왑	변화	에스퍼			－	－	단일	±0	×	자신과 상대의 「방어」「특방」의 「능력변화」를 뒤바꾼다．					－	－	11
고속이동	변화	에스퍼			－	－	자신	±0	×	「속도＋2」					－	－	11
꿈먹기	특수	에스퍼			100	100	단일	±0	×	준 대미지의 1/2만큼 HP를 회복한다．상대가 「잠듦」 상태가 아니면 실패한다．		드레인			특공	특방	11
이차원홀	특수	에스퍼			80	－	단일	±0	×	상대의 「방어」 기술을 관통한다．		방어관통 필중			특공	특방	11
러스터퍼지	특수	에스퍼			70	100	단일	±0	×	「5할：특방－1」					특공	특방	11
루미나콜리전	특수	에스퍼			80	100	단일	±0	×	「10할：특방－2」					특공	특방	11
리플렉터	변화	에스퍼			－	－	자진	±0	×	「벽」 기술．5T 동안 자진에 「리플렉터」를 전개한다．	벽				－	－	11
마법가루	변화	에스퍼			－	－	단일	±0	×	「가루」 기술．상대의 타입을 「에스퍼」로 변경한다．	가루 마법	타입변경			－	－	11
망각술	변화	에스퍼			－	－	자신	±0	×	「특방＋2」					－	－	11
매지컬액셀	물리	에스퍼			80	100	단일	±0	×	「마법」 기술．「3할：혼란」	마법				공격	방어	11
매직룸	변화	에스퍼			－	－	전체	±0	×	5T 동안 전체 필드에 「매직룸」을 전개한다．	룸				－	－	11
매직코트	변화	에스퍼			－	－	자신	±0	×	자신을 「매직코트」 상태로 한다．					－	－	11
명상	변화	에스퍼			－	－	자신	±0	×	「특공/특방＋1」					－	－	11
미라클아이	변화	에스퍼			－	－	단일	±0	×	상대의 데이터를 해석하고，자신을 「꿰뚫어보기」 상태로 한다．		방어관통			－	－	11
미래예지	특수	에스퍼			100	100	단일	±0	×	「미래예지」 기술．상대를 「미래예지」 상태로 한다．	미래예지	방어관통			특공	특방	11
미러다이브	변화	에스퍼			－	－	자신	±0	×	1T 동안 자신을 「미러다이브」 상태로 한다．연속해서 내보내면 실패한다．					－	－	11
미러코트	특수	에스퍼			－	100	단일	－5	×	상대로부터 받은 「특수」 대미지의 2배만큼 고정 대미지를 준다．		고정피해			－	－	11
미스트볼	특수	에스퍼			70	100	단일	±0	×	「탄/볼」 기술．「5할：특공－1」	탄/볼				특공	특방	11
배리어	변화	에스퍼			－	－	자신	±0	×	「방어＋2」					－	－	11
배리어러시	물리	에스퍼			70	90	단일	±0	○	「10할：방어＋1」					공격	방어	11
벽으로으깨기	물리	에스퍼			150	－	전체	±0	×	자진에 「벽」 기술이 전개되어 있지 않으면 실패한다．명중 후，자진의 「벽」을 해제한다．「2할：혼란」		필중			공격	방어	11
봉인	변화	에스퍼			－	－	단일	±0	×	상대의 기술을 모두 공개하고，그 중 1개를 선택해 「봉인」 상태로 한다．					－	－	11
브레이브차지	변화	에스퍼			－	－	자신	±0	×	자신의 「상태이상」을 치유한다．「공격/방어＋1」		치유			－	－	11
빛의장막	변화	에스퍼			－	－	자진	±0	×	「벽」 기술．5T 동안 자진에 「빛의장막」을 전개한다．	벽				－	－	11
사념의박치기	물리	에스퍼			80	90	단일	±0	○	「2할：풀죽음」					공격	방어	11
사념의칼	물리	에스퍼			100	100	단일	±0	×	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．「2할：풀죽음」	칼/검				공격	방어	11
사이드체인지	변화	에스퍼			－	－	자신	＋2	×	자신과 아군이 있는 장소를 바꾼다．				더블배틀	－	－	11
사이코부스트	특수	에스퍼			140	90	단일	±0	×	명중 후，자신의 「특공－2」					특공	특방	11
사이코브레이크	특수	에스퍼			100	100	단일	±0	○	자신의 「특공」과 상대의 「방어」 능력치로 대미지를 계산한다．		변칙계산			특공	방어	11
사이코소드	물리	에스퍼			90	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	11
